cid,SMILES,stat,mtor,nfkb
1150,C1=CC=C2C(=C1)C(=CN2)CCN,0,0,1
1697,C1=CC=C(C=C1)NC2=C(C=C3C(=C2)C(=O)NC3=O)NC4=CC=CC=C4,0,0,1
1858,CC(=O)NCCC1=CNC2=CC(=C(C=C21)OC)Cl,0,0,1
2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,0,1,0
2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,0,0,1
2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,0,0,1
2781,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C,0,1,0
2993,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C,0,1,0
3191,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,0,1,0
3220,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,0,1,0
3455,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,0,1,0
3689,CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3,0,1,0
3718,CC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,0,0,1
3779,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,0,1,0
3794,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)O)OC,1,0,0
3795,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC,1,0,0
3851,C1CN2CCC1C(C2C(C3=CC=CC=C3)C4=CC=CC=C4)NCC5=CC=CC=C5I,0,1,0
3885,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,0,0,1
3955,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,0,1,0
