cid,SMILES,AO,ROS,NRF2
72,C1=CC(=C(C=C1C(=O)O)O)O,1,0,0
125,C1=CC(=CC=C1CO)O,1,0,0
127,C1=CC(=CC=C1CC(=O)O)O,1,0,0
325,CC(C)C1=CC=C(C=C1)CO,1,0,0
681,C1=CC(=C(C=C1CCN)O)O,0,0,1
780,C1=CC(=C(C=C1O)CC(=O)O)O,1,0,0
802,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,0,0,0
864,C1CSSC1CCCCC(=O)O,1,0,0
896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,1,0,0
1054,CC1=NC=C(C(=C1O)CO)CO,1,0,0
1752,CCCCCCCCCC1=CC=C(C=C1)O,0,1,0
2002,CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O,0,0,0
2116,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,1,0,0
2358,COC1=CC2=C(C=C1)N(C(=O)C(O2)O)O,1,0,0
2466,CCCCOC1=CC=C(C=C1)CC(=O)NO,0,0,1
2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,0,0,1
2482,CCCCOC(=O)C1=CC=C(C=C1)N,0,0,1
2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,0,1,0
2950,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,1,0,0
3126,CCCCCCCCCCCCCCCC(C(CO)N)O,0,1,1
3278,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,0,1,0
3293,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,1,0,0
3314,COC1=C(C=CC(=C1)CC=C)O,1,0,0
3372,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,0,0,0
3374,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,0,0,1
3469,C1=CC(=C(C=C1O)C(=O)O)O,1,0,0
3515,CC1=C2C=CC(=C2C=C(C=C1)C(C)C)C,1,0,0
3599,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,1,0,0
3611,CC(C)C1=CC(=O)C(=CC=C1)O,1,0,0
3686,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,1,0,0
3744,C1=CC=C2C(=C1)C(=CN2)CCC(=O)O,1,0,0
3840,C1=C(OC=C(C1=O)O)CO,1,0,0
3969,CCCC1=C(C=CC(=C1O)C(=O)C)OCCCCC2=NNN=N2,0,0,1
4409,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,0,0,1
4534,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,1,0,0
4641,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3,0,1,0
4748,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,0,0,0
4781,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,0,0,1
4788,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,1,0,0
4922,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)C1=CC=CC=C1,1,0,0
4947,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,1,0,0
5059,CCCCCC(C1=CC(=CC=C1)OCC2=NC3=CC=CC=C3C=C2)O,0,0,1
5141,CCCCCCSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,0,1,0
