measure,location,sex,age,metric,year,val,upper,lower
44,1,3,26,1,1980,159246990.64390984,162121435.09642342,156413374.7922378
44,1,3,26,1,1981,164216153.32129523,167164983.9847423,161386082.01195112
44,1,3,26,1,1982,169178896.3222923,172375194.67510673,166285956.7209622
44,1,3,26,1,1983,174192769.2205951,177566384.0552782,171002577.46187326
44,1,3,26,1,1984,178910459.5120046,182762681.92415044,175241073.66757292
44,1,3,26,1,1985,183173808.74016064,187371429.7939481,179263758.10125047
44,1,3,26,1,1986,186748100.79657215,191131194.7677997,182796554.88493082
44,1,3,26,1,1987,190058324.76291892,194233641.98851734,186037564.75817847
44,1,3,26,1,1988,193318501.483794,197463806.19820803,189434317.78915134
44,1,3,26,1,1989,197169780.50459686,201034621.87833175,193682247.8834458
44,1,3,26,1,1990,202006942.6303381,205604856.6394502,198620062.75546253
44,1,3,26,1,1991,207434649.81739765,211442801.42104632,203712423.18867487
44,1,3,26,1,1992,213180168.96520132,217613022.20637512,208996625.24526486
44,1,3,26,1,1993,219143885.92933527,223898431.93757787,214477735.55920538
44,1,3,26,1,1994,225383834.20211828,230781086.212717,220414386.16947225
44,1,3,26,1,1995,232070902.26851466,237902908.75834745,226639754.18553713
44,1,3,26,1,1996,239059578.30085388,244891106.92112714,233559409.89950457
44,1,3,26,1,1997,246555932.17988783,252199398.33186522,241170162.54553413
44,1,3,26,1,1998,254440666.04507557,259805306.90517983,249263113.27161926
44,1,3,26,1,1999,262581844.4400973,267736372.66629723,257674023.14818755
44,1,3,26,1,2000,270806160.36310226,275768623.47572994,265972589.0264369
44,1,3,26,1,2001,279056469.1690838,284405591.715552,274021940.5921766
44,1,3,26,1,2002,286933055.25599575,293203790.5390303,281214576.22541326
44,1,3,26,1,2003,294758619.4621812,301316499.38723457,288454460.8348438
44,1,3,26,1,2004,302717695.6940291,309789615.98148113,295800154.436048
44,1,3,26,1,2005,311115952.848345,319135326.25706214,303495330.84422874
44,1,3,26,1,2006,320318490.0929596,328694638.8719578,312484540.63843095
44,1,3,26,1,2007,330011751.65009433,338156765.46410584,322650409.58573556
44,1,3,26,1,2008,339653492.52654827,347375873.9622742,332705418.6930771
44,1,3,26,1,2009,349157115.6065324,356310164.40110695,342627775.3147874
44,1,3,26,1,2010,358844822.76452965,365708263.7339707,352510197.0553949
44,1,3,26,1,2011,368480591.8180197,376318682.5690686,361493490.07812536
44,1,3,26,1,2012,377864758.2180622,386382065.2812283,370137847.8335834
44,1,3,26,1,2013,387164732.6685946,396937290.80811244,378567042.2754544
44,1,3,26,1,2014,396428656.4021455,406617855.8581367,386832480.41397685
44,1,3,26,1,2015,405712678.7462714,416811115.56401515,395091298.68083304
44,1,3,26,1,2016,416675288.4300827,427858234.6779002,406160752.1784086
44,1,3,26,1,2017,431483132.0180761,443139867.43614733,420860630.9059626
44,1,3,26,1,2018,446556728.49216473,458038050.98131824,436135273.56385374
44,1,3,26,1,2019,464486480.31257343,476493834.07371485,453541219.70655596
44,1,3,26,1,2020,478911970.7413211,491159290.55254704,467777154.6032574
44,1,3,26,1,2021,494368155.2028268,508215008.0365092,482085724.7994646
