measure,location,sex,age,cause,metric,year,val,upper,lower
1,1,3,22,495,1,1980,2048085.0240158844,2177503.5000355835,1913622.9144969159
1,1,3,22,495,2,1980,0.046482103242922033,0.04936115750937371,0.043567792320480844
1,1,3,22,495,3,1980,45.81347605694972,48.70842923659339,42.8057021790199
1,1,3,22,495,1,1981,2064392.7111255021,2185802.0920046004,1933739.606840103
1,1,3,22,495,2,1981,0.0466870501885632,0.049617402505167225,0.0437196865271295
1,1,3,22,495,3,1981,45.353355547061604,48.0206401136479,42.482992432500666
1,1,3,22,495,1,1983,2121868.2030827613,2257977.0805822234,1977891.4905973217
1,1,3,22,495,2,1983,0.047394201237444325,0.050345318303130826,0.04443342702270243
1,1,3,22,495,3,1983,44.965819026662814,47.85018627655672,41.91471962837397
1,1,3,22,495,1,1985,2206625.679030988,2342543.2395671313,2048936.9390395472
1,1,3,22,495,2,1985,0.048831809502515366,0.051913363835001176,0.04574347429337065
1,1,3,22,495,3,1985,45.08573633015102,47.86280149131641,41.86384282050515
1,1,3,22,495,1,1982,2073329.3853492702,2200191.0990678268,1926750.8558214707
1,1,3,22,495,2,1982,0.046774671607773946,0.049713592515652764,0.04382433568962358
1,1,3,22,495,3,1982,44.74090363173193,47.47848490952882,41.57784815659839
1,1,3,22,495,1,1986,2194896.568729235,2332036.4429908693,2048130.5484714406
1,1,3,22,495,2,1986,0.04882347111059078,0.051999524569353285,0.04564919968368996
1,1,3,22,495,3,1986,44.04440985944045,46.79635950303965,41.099294886020175
1,1,3,22,495,1,1992,2400032.6959410375,2552721.589993155,2225468.28388119
1,1,3,22,495,2,1992,0.05106215010286024,0.05423869787795065,0.04745236744459079
1,1,3,22,495,3,1992,43.65912379311061,46.43669567308071,40.483613189075236
1,1,3,22,495,1,1990,2317112.278785999,2475545.5495040766,2131459.553126764
1,1,3,22,495,2,1990,0.05026553490884017,0.05350233379853461,0.04678542646673748
1,1,3,22,495,3,1990,43.443492235447664,46.41395449111505,39.9626929580417
1,1,3,22,495,1,1984,2172271.927323836,2300673.3943236526,2023044.3046658006
1,1,3,22,495,2,1984,0.04809864238303289,0.05105930363725774,0.04508486156810058
1,1,3,22,495,3,1984,45.20123317888004,47.873046305664396,42.09606366319895
1,1,3,22,495,1,1988,2258482.8887760015,2405233.275545522,2098973.699447468
1,1,3,22,495,2,1988,0.049690111826973825,0.052882663413173575,0.04640808827695321
1,1,3,22,495,3,1988,43.76466891163226,46.60838409829138,40.67371484949657
1,1,3,22,495,1,1994,2560777.2048976473,2714368.944267802,2368242.001127242
1,1,3,22,495,2,1994,0.05234915035714121,0.0553124952679622,0.048507831441613754
1,1,3,22,495,3,1994,45.31980767152227,48.03802465458398,41.912381836825034
1,1,3,22,495,1,1989,2287594.128910045,2432623.9454910397,2118872.408847787
1,1,3,22,495,2,1989,0.050013827841097744,0.05328970141445148,0.04655592874568065
1,1,3,22,495,3,1989,43.59052078409249,46.35409022768044,40.375497825187665
1,1,3,22,495,1,1997,2607734.985443249,2752033.664010629,2407768.153480002
1,1,3,22,495,2,1997,0.05315144842691139,0.056091100362383725,0.04890272976915826
1,1,3,22,495,3,1997,44.4015167214016,46.85846891364928,40.99671114004282
1,1,3,22,495,1,1987,2230775.370151881,2377239.091332195,2069938.9986369135
1,1,3,22,495,2,1987,0.04940623416248116,0.05267705272580469,0.046142862692132934
1,1,3,22,495,3,1987,43.979880825365065,46.867422569342246,40.808981349668045
1,1,3,22,495,1,1991,2348794.151491452,2501138.1464746827,2176153.513847739
1,1,3,22,495,2,1991,0.05041494953341503,0.05365978497392734,0.04682281517372046
1,1,3,22,495,3,1991,43.36357632872455,46.176160160510435,40.17627468155842
1,1,3,22,495,1,1995,2600346.9030945324,2743743.2926161936,2392676.887652156
1,1,3,22,495,2,1995,0.05313220063561154,0.05605312066276041,0.04916273231848277
1,1,3,22,495,3,1995,45.428355790744625,47.93350700520217,41.80033703010976
1,1,3,22,495,1,2000,2721539.835313019,2859758.9669897095,2526481.214322185
1,1,3,22,495,2,2000,0.05411961465105833,0.05690676776303098,0.049940013542531005
1,1,3,22,495,3,2000,44.62434627504755,46.890687672570266,41.42602327639592
1,1,3,22,495,1,1998,2632362.9470286486,2783122.0013266234,2429615.616698998
1,1,3,22,495,2,1998,0.053227075601221335,0.05613357862550223,0.048874017179604566
1,1,3,22,495,3,1998,44.25714686965977,46.79181467279376,40.84841541567871
1,1,3,22,495,1,2003,2913343.707216702,3045799.143583328,2692190.1488915635
1,1,3,22,495,2,2003,0.05637959045031737,0.05903944706185107,0.05225075514080918
1,1,3,22,495,3,2003,45.97993816626702,48.07042023291673,42.48957521600786
1,1,3,22,495,1,2006,2878972.52250065,3020890.494622232,2646729.5150825735
1,1,3,22,495,2,2006,0.0557267504680115,0.05850539970435354,0.051044797859157776
1,1,3,22,495,3,2006,43.69547734841151,45.849431055057075,40.17061943794102
1,1,3,22,495,1,2001,2780563.391698528,2931841.1689399625,2564778.7195743555
1,1,3,22,495,2,2001,0.054900582268247226,0.05769657483294406,0.0507460990620931
1,1,3,22,495,3,2001,45.02059659295125,47.46996199961609,41.52678857417049
1,1,3,22,495,1,2008,2938711.697768267,3108339.289800427,2684835.490150558
1,1,3,22,495,2,2008,0.055996803218620585,0.05900406577391147,0.05131596823426496
1,1,3,22,495,3,2008,43.41721788393448,45.923335829420765,39.66639107433086
1,1,3,22,495,1,2004,2921144.352744059,3061452.443765088,2692392.2250426635
1,1,3,22,495,2,2004,0.056074754447252004,0.05878089810333691,0.051875584158595854
1,1,3,22,495,3,2004,45.512233242886396,47.69827192954512,41.94821211501144
1,1,3,22,495,1,1999,2678654.9021017323,2823582.014215772,2474277.2150352057
1,1,3,22,495,2,1999,0.053668987850813345,0.056599223412914415,0.04939801199339828
1,1,3,22,495,3,1999,44.47462258164124,46.880896942725215,41.081270011565685
1,1,3,22,495,1,2007,2884962.7542948653,3038233.762466157,2641723.2189959576
1,1,3,22,495,2,2007,0.05570854471540234,0.058678475793259244,0.05103079306061655
1,1,3,22,495,3,2007,43.20497814151945,45.5003528557722,39.5622417526016
1,1,3,22,495,1,2005,2942061.1708071954,3089443.6534478054,2721450.891215808
1,1,3,22,495,2,2005,0.05640756783607181,0.05918150113946121,0.052130785026976885
1,1,3,22,495,3,2005,45.24613622793383,47.512740319424694,41.85335742961402
