measure,location,sex,age,cause,metric,year,val,upper,lower
1,1,3,22,591,1,1980,122947.18566071668,149330.28996135524,102330.53801675167
1,1,3,22,591,2,1980,0.0027903025543341378,0.003381158742221469,0.002295264202226069
1,1,3,22,591,3,1980,2.7501973211503272,3.3403592055506603,2.289024917594863
1,1,3,22,591,1,1981,124832.60160980893,153649.1389147083,101584.62098253584
1,1,3,22,591,2,1981,0.0028226162216663142,0.0034364967521520575,0.0023043191776115413
1,1,3,22,591,3,1981,2.7424904835997377,3.375570931414211,2.2317475782127727
1,1,3,22,591,1,1983,128344.0031229482,156039.73160966244,106057.0822178476
1,1,3,22,591,2,1983,0.002866603699442995,0.0034902352375527,0.0023613406292977697
1,1,3,22,591,3,1983,2.7198170033366775,3.3067342836540243,2.247521103608164
1,1,3,22,591,1,1985,132801.6775476272,160528.3784043607,109013.14588387137
1,1,3,22,591,2,1985,0.0029386602879813745,0.003533141536338774,0.0024192439359194493
1,1,3,22,591,3,1985,2.7134014957821795,3.2799129508109366,2.227354643130431
1,1,3,22,591,1,1982,126103.73470567443,154321.99122201305,103943.89539989733
1,1,3,22,591,2,1982,0.002844610740565109,0.0034651761468798645,0.0023368167656713876
1,1,3,22,591,3,1982,2.7212246553470942,3.330153610087353,2.2430318308589476
1,1,3,22,591,1,1984,130288.59552162331,158959.74959555562,107449.11695909158
1,1,3,22,591,2,1984,0.002884740625691891,0.0034896259201825652,0.0023777613593128745
1,1,3,22,591,3,1984,2.7110810173646085,3.3076782962329125,2.235830850383498
1,1,3,22,591,1,1986,134500.85347686402,163051.33816700787,110989.22318252364
1,1,3,22,591,2,1986,0.00299164428344328,0.0036170430382090803,0.002483158625713113
1,1,3,22,591,3,1986,2.6989931103720877,3.2719081475970166,2.227191433745881
1,1,3,22,591,1,1988,140504.67641314826,170199.65054527385,115434.8730711349
1,1,3,22,591,2,1988,0.0030909670502977738,0.0037186292219309105,0.002559584364205191
1,1,3,22,591,3,1988,2.7226863990499495,3.2981128136978306,2.2368861087774103
1,1,3,22,591,1,1990,148983.07037586745,176984.91454940606,123166.76090137455
